,Div,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,HomeTeamMatchDay,AwayTeamMatchDay,HomeTeamGoalsScoredLast5,AwayTeamGoalsScoredLast5,HomeTeamGoalsConcededLast5,AwayTeamGoalsConcededLast5,HomeTeamUnBeatenStreak,AwayTeamUnBeatenStreak,HomeTeamPoints,AwayTeamPoints,HomeTeamLostLast,AwayTeamLostLast,HomeTeamGameNumber,AwayTeamGameNumber,ScoredAtHomeTeam5,ScoredAwayTeam5,HomeTeamAtHomeTeamPoints,AwayTeamFromHomeTeamPoints
16376,I1,Udinese,Inter,0.0,0.0,D,5.5,3.3,1.72,20,20,6.0,14.0,7.0,5.0,0,19,7.0,15.0,0.0,1.0,10,10,9.0,8.0,10.0,15.0
16377,I1,Frosinone,Inter,0.0,1.0,A,6.0,3.75,1.57,32,32,3.0,7.0,8.0,7.0,0,0,4.0,7.0,0.0,0.0,17,16,3.0,5.0,8.0,13.0
16378,D1,Hamburg,Werder Bremen,1.0,3.0,A,2.0,3.5,3.6,22,22,6.0,4.0,8.0,9.0,3,4,8.0,4.0,1.0,1.0,12,12,7.0,3.0,8.0,8.0
16379,F1,Toulouse,Lille,2.0,3.0,A,2.14,3.29,3.5,36,36,3.0,7.0,5.0,11.0,0,1,4.0,4.0,0.0,1.0,18,18,8.0,6.0,5.0,3.0
16380,SP1,Ath Bilbao,Valencia,1.0,1.0,D,2.62,3.2,2.79,26,26,3.0,8.0,6.0,8.0,1,3,5.0,9.0,1.0,1.0,13,13,5.0,6.0,9.0,9.0
16381,F1,Caen,Lorient,3.0,2.0,H,2.2,3.25,3.5,1,1,3.0,2.0,2.0,3.0,0,0,3.0,0.0,,,1,1,3.0,2.0,3.0,0.0
16382,SP1,Ath Bilbao,Osasuna,0.0,3.0,A,2.25,3.2,3.1,27,27,3.0,4.0,7.0,7.0,1,1,4.0,4.0,1.0,1.0,13,14,3.0,4.0,4.0,5.0
16383,E0,Tottenham,QPR,2.0,1.0,H,1.44,4.33,7.5,5,5,7.5,2.5,6.25,11.25,3,1,6.25,2.5,1.0,1.0,3,3,5.0,5.0,5.0,2.5
16384,E0,Chelsea,Fulham,0.0,0.0,D,1.3,5.0,12.0,8,8,2.0,9.0,5.0,11.0,0,3,5.0,3.0,0.0,1.0,4,4,6.666666666666667,5.0,11.666666666666666,6.666666666666667
16385,SP1,Sevilla,Getafe,3.0,0.0,H,1.8,3.3,4.5,35,36,5.0,11.0,4.0,4.0,3,6,8.0,11.0,1.0,1.0,17,18,6.0,12.0,11.0,7.0
16386,E0,Chelsea,Man United,1.0,0.0,H,2.0,3.4,4.33,32,33,8.0,13.0,4.0,4.0,11,6,13.0,15.0,1.0,1.0,16,16,6.0,7.0,9.0,12.0
16387,F1,Grenoble,Nantes,0.0,1.0,A,2.05,3.1,4.0,8,8,3.0,3.0,4.0,10.0,1,0,7.0,3.0,1.0,0.0,4,5,3.3333333333333335,1.25,10.0,8.75
